,name,type,urls
33,34. Restaurant Ogniem i Mieczem,Argentinean,/Restaurant_Review-g274772-d697126-Reviews-Restaurant_Ogniem_i_Mieczem-Krakow_Lesser_Poland_Province_Southern_Poland.html
34,35. Restauracja Baster,Argentinean,/Restaurant_Review-g274772-d23573775-Reviews-Restauracja_Baster-Krakow_Lesser_Poland_Province_Southern_Poland.html
35,36. Bombonierka,Argentinean,/Restaurant_Review-g274772-d2721745-Reviews-Bombonierka-Krakow_Lesser_Poland_Province_Southern_Poland.html
36,37. FAB Fusion,Argentinean,/Restaurant_Review-g274772-d4847400-Reviews-FAB_Fusion-Krakow_Lesser_Poland_Province_Southern_Poland.html
37,38. Wierzynek Restaurant,Argentinean,/Restaurant_Review-g274772-d697181-Reviews-Wierzynek_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
38,39. Kuchnia Domowa,Argentinean,/Restaurant_Review-g274772-d3709924-Reviews-Kuchnia_Domowa-Krakow_Lesser_Poland_Province_Southern_Poland.html
39,40. Dobra Kasza Nasza,Argentinean,/Restaurant_Review-g274772-d6196830-Reviews-Dobra_Kasza_Nasza-Krakow_Lesser_Poland_Province_Southern_Poland.html
40,41. Paul's Place Restaurant & Bar,Argentinean,/Restaurant_Review-g274772-d14214188-Reviews-Paul_s_Place_Restaurant_Bar-Krakow_Lesser_Poland_Province_Southern_Poland.html
41,42. Miod Malina,Argentinean,/Restaurant_Review-g274772-d779867-Reviews-Miod_Malina-Krakow_Lesser_Poland_Province_Southern_Poland.html
42,43. Restauracja Jarema,Argentinean,/Restaurant_Review-g274772-d1008997-Reviews-Restauracja_Jarema-Krakow_Lesser_Poland_Province_Southern_Poland.html
43,44. Czerwone Korale,Argentinean,/Restaurant_Review-g274772-d3965605-Reviews-Czerwone_Korale-Krakow_Lesser_Poland_Province_Southern_Poland.html
44,45. Warsztat Restaurant & Cafe,Argentinean,/Restaurant_Review-g274772-d6553200-Reviews-Warsztat_Restaurant_Cafe-Krakow_Lesser_Poland_Province_Southern_Poland.html
45,46. Galicyjska Restaurant,Argentinean,/Restaurant_Review-g274772-d1196617-Reviews-Galicyjska_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
46,47. Pierogi Mr Vincent,Argentinean,/Restaurant_Review-g274772-d1098697-Reviews-Pierogi_Mr_Vincent-Krakow_Lesser_Poland_Province_Southern_Poland.html
47,48. Szara  Kazimierz,Argentinean,/Restaurant_Review-g274772-d1098928-Reviews-Szara_Kazimierz-Krakow_Lesser_Poland_Province_Southern_Poland.html
48,49. Restauracja W Starej Kuchni,Argentinean,/Restaurant_Review-g274772-d1509360-Reviews-Restauracja_W_Starej_Kuchni-Krakow_Lesser_Poland_Province_Southern_Poland.html
49,50. Restauracja Tradycyja,Argentinean,/Restaurant_Review-g274772-d4093579-Reviews-Restauracja_Tradycyja-Krakow_Lesser_Poland_Province_Southern_Poland.html
50,51. Kawaleria,Argentinean,/Restaurant_Review-g274772-d697111-Reviews-Kawaleria-Krakow_Lesser_Poland_Province_Southern_Poland.html
51,52. Wrega,Argentinean,/Restaurant_Review-g274772-d3388150-Reviews-Wrega-Krakow_Lesser_Poland_Province_Southern_Poland.html
52,53. Pod Nosem,Argentinean,/Restaurant_Review-g274772-d6956143-Reviews-Pod_Nosem-Krakow_Lesser_Poland_Province_Southern_Poland.html
53,54. Restauracja Filipa 18 Food Wine Art,Argentinean,/Restaurant_Review-g274772-d11872291-Reviews-Restauracja_Filipa_18_Food_Wine_Art-Krakow_Lesser_Poland_Province_Southern_Polan.html
54,55. Restauracja Wesele,Argentinean,/Restaurant_Review-g274772-d1195153-Reviews-Restauracja_Wesele-Krakow_Lesser_Poland_Province_Southern_Poland.html
55,56. Greg & Tom Beer House Pub,Argentinean,/Restaurant_Review-g274772-d4044371-Reviews-Greg_Tom_Beer_House_Pub-Krakow_Lesser_Poland_Province_Southern_Poland.html
56,57. Hawelka,Argentinean,/Restaurant_Review-g274772-d1028638-Reviews-Hawelka-Krakow_Lesser_Poland_Province_Southern_Poland.html
57,58. Restauracja Szlachecka Miod i Wino,Argentinean,/Restaurant_Review-g274772-d1098894-Reviews-Restauracja_Szlachecka_Miod_i_Wino-Krakow_Lesser_Poland_Province_Southern_Poland.html
58,59. Zielona Kuchnia,Argentinean,/Restaurant_Review-g274772-d1965370-Reviews-Zielona_Kuchnia-Krakow_Lesser_Poland_Province_Southern_Poland.html
59,60. 4Seasons Restaurant,Argentinean,/Restaurant_Review-g274772-d19262208-Reviews-4Seasons_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
60,61. Staropolska Restaurant,Argentinean,/Restaurant_Review-g274772-d2660448-Reviews-Staropolska_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
61,62. Restauracja Atrium,Argentinean,/Restaurant_Review-g274772-d1124040-Reviews-Restauracja_Atrium-Krakow_Lesser_Poland_Province_Southern_Poland.html
62,63. Gospoda na Woli,Argentinean,/Restaurant_Review-g274772-d3254913-Reviews-Gospoda_na_Woli-Krakow_Lesser_Poland_Province_Southern_Poland.html
63,64. No7 Restaurant,Argentinean,/Restaurant_Review-g274772-d2201750-Reviews-No7_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
64,65. Kielbasa i Sznurek,Argentinean,/Restaurant_Review-g274772-d8681334-Reviews-Kielbasa_i_Sznurek-Krakow_Lesser_Poland_Province_Southern_Poland.html
65,66. Cechowa,Argentinean,/Restaurant_Review-g274772-d697187-Reviews-Cechowa-Krakow_Lesser_Poland_Province_Southern_Poland.html
66,67. Piano Rouge,Argentinean,/Restaurant_Review-g274772-d1315048-Reviews-Piano_Rouge-Krakow_Lesser_Poland_Province_Southern_Poland.html
67,68. Warsztat,Argentinean,/Restaurant_Review-g274772-d1232731-Reviews-Warsztat-Krakow_Lesser_Poland_Province_Southern_Poland.html
68,69. Nota Resto by Tomasz Lesniak,Argentinean,/Restaurant_Review-g274772-d12327431-Reviews-Nota_Resto_by_Tomasz_Lesniak-Krakow_Lesser_Poland_Province_Southern_Poland.html
69,70. Adam Gessler A' La Carte,Argentinean,/Restaurant_Review-g274772-d24948444-Reviews-Adam_Gessler_A_La_Carte-Krakow_Lesser_Poland_Province_Southern_Poland.html
70,71. Restauracja Sukiennice,Argentinean,/Restaurant_Review-g274772-d7130538-Reviews-Restauracja_Sukiennice-Krakow_Lesser_Poland_Province_Southern_Poland.html
71,72. Amarylis,Argentinean,/Restaurant_Review-g274772-d2419699-Reviews-Amarylis-Krakow_Lesser_Poland_Province_Southern_Poland.html
72,73. Pijalnia Wodki I Piwa,Argentinean,/Restaurant_Review-g274772-d7991552-Reviews-Pijalnia_Wodki_I_Piwa-Krakow_Lesser_Poland_Province_Southern_Poland.html
73,74. Bistro Praska,Argentinean,/Restaurant_Review-g274772-d8500482-Reviews-Bistro_Praska-Krakow_Lesser_Poland_Province_Southern_Poland.html
74,75. Zalipianki Ewa Wachowicz,Argentinean,/Restaurant_Review-g274772-d5985321-Reviews-Zalipianki_Ewa_Wachowicz-Krakow_Lesser_Poland_Province_Southern_Poland.html
75,76. Chlopskie Jadlo | ul. Grodzka,Argentinean,/Restaurant_Review-g274772-d697190-Reviews-Chlopskie_Jadlo_ul_Grodzka-Krakow_Lesser_Poland_Province_Southern_Poland.html
76,77. Pijarska 17 Bistro & Restaurant,Argentinean,/Restaurant_Review-g274772-d12018191-Reviews-Pijarska_17_Bistro_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
77,78. Stare Mury,Argentinean,/Restaurant_Review-g274772-d4766908-Reviews-Stare_Mury-Krakow_Lesser_Poland_Province_Southern_Poland.html
78,79. P.P.P. Restauracja,Argentinean,/Restaurant_Review-g274772-d1009014-Reviews-P_P_P_Restauracja-Krakow_Lesser_Poland_Province_Southern_Poland.html
79,80. Cafe Camelot,Argentinean,/Restaurant_Review-g274772-d784617-Reviews-Cafe_Camelot-Krakow_Lesser_Poland_Province_Southern_Poland.html
80,81. Restauracja Copernicus,Argentinean,/Restaurant_Review-g274772-d697194-Reviews-Restauracja_Copernicus-Krakow_Lesser_Poland_Province_Southern_Poland.html
81,82. Piwnica Pod Zlota Pipa,Argentinean,/Restaurant_Review-g274772-d10787415-Reviews-Piwnica_Pod_Zlota_Pipa-Krakow_Lesser_Poland_Province_Southern_Poland.html
82,83. Bistro Durum,Argentinean,/Restaurant_Review-g274772-d17291532-Reviews-Bistro_Durum-Krakow_Lesser_Poland_Province_Southern_Poland.html
83,84. C.K. Browar,Argentinean,/Restaurant_Review-g274772-d1008982-Reviews-C_K_Browar-Krakow_Lesser_Poland_Province_Southern_Poland.html
84,85. StopBar,Argentinean,/Restaurant_Review-g274772-d11965550-Reviews-StopBar-Krakow_Lesser_Poland_Province_Southern_Poland.html
85,86. Talerz Polish Restaurant,Argentinean,/Restaurant_Review-g274772-d17781440-Reviews-Talerz_Polish_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
86,87. Albertina Restaurant & Wine,Argentinean,/Restaurant_Review-g274772-d9739296-Reviews-Albertina_Restaurant_Wine-Krakow_Lesser_Poland_Province_Southern_Poland.html
87,88. Pod Wawelem,Argentinean,/Restaurant_Review-g274772-d1009022-Reviews-Pod_Wawelem-Krakow_Lesser_Poland_Province_Southern_Poland.html
88,89. Restauracja Kramy Dominikanskie,Argentinean,/Restaurant_Review-g274772-d3702672-Reviews-Restauracja_Kramy_Dominikanskie-Krakow_Lesser_Poland_Province_Southern_Poland.html
89,90. Pierogarnia Krakowiacy,Argentinean,/Restaurant_Review-g274772-d19219652-Reviews-Pierogarnia_Krakowiacy-Krakow_Lesser_Poland_Province_Southern_Poland.html
90,91. Pol na Pol,Argentinean,/Restaurant_Review-g274772-d8420315-Reviews-Pol_na_Pol-Krakow_Lesser_Poland_Province_Southern_Poland.html
91,92. Kuryer Restaurant,Argentinean,/Restaurant_Review-g274772-d25147858-Reviews-Kuryer_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html
92,93. Loza Restaurant & Drink Bar (Main Square),Argentinean,/Restaurant_Review-g274772-d1098906-Reviews-Loza_Restaurant_Drink_Bar_Main_Square-Krakow_Lesser_Poland_Province_Southern_Pola.html
