,name,type,urls
49,50. Lux&Burg,American,/Restaurant_Review-g187497-d12996244-Reviews-Lux_Burg-Barcelona_Catalonia.html
50,51. El Club De La Hamburguesa,American,/Restaurant_Review-g187497-d3163738-Reviews-El_Club_De_La_Hamburguesa-Barcelona_Catalonia.html
51,52. La Vespa Burger Bar,American,/Restaurant_Review-g187497-d3668516-Reviews-La_Vespa_Burger_Bar-Barcelona_Catalonia.html
52,53. Goiko - Calvet 14,American,/Restaurant_Review-g187497-d13372784-Reviews-Goiko_Calvet_14-Barcelona_Catalonia.html
53,54. Santa Burg,American,/Restaurant_Review-g187497-d3162204-Reviews-Santa_Burg-Barcelona_Catalonia.html
54,55. Showroom Fashion Food,American,/Restaurant_Review-g187497-d23923401-Reviews-Showroom_Fashion_Food-Barcelona_Catalonia.html
55,56. Rufian,American,/Restaurant_Review-g187497-d8117493-Reviews-Rufian-Barcelona_Catalonia.html
56,57. Lagarto Food & Drinks,American,/Restaurant_Review-g187497-d23409221-Reviews-Lagarto_Food_Drinks-Barcelona_Catalonia.html
57,58. La Informal,American,/Restaurant_Review-g187497-d5483071-Reviews-La_Informal-Barcelona_Catalonia.html
58,59. Hideout Burger,American,/Restaurant_Review-g187497-d17839557-Reviews-Hideout_Burger-Barcelona_Catalonia.html
59,60. Hideout Burger,American,/Restaurant_Review-g187497-d24025380-Reviews-Hideout_Burger-Barcelona_Catalonia.html
60,61. Mezze,American,/Restaurant_Review-g187497-d10895044-Reviews-Mezze-Barcelona_Catalonia.html
61,62. Bocatta,American,/Restaurant_Review-g187497-d998006-Reviews-Bocatta-Barcelona_Catalonia.html
62,63. Viena,American,/Restaurant_Review-g187497-d20090694-Reviews-Viena-Barcelona_Catalonia.html
63,64. Cent % BurgerBar,American,/Restaurant_Review-g187497-d6788387-Reviews-Cent_BurgerBar-Barcelona_Catalonia.html
64,65. Moica Burger,American,/Restaurant_Review-g187497-d14972314-Reviews-Moica_Burger-Barcelona_Catalonia.html
65,66. Timesburg Fabra i Puig,American,/Restaurant_Review-g187497-d13742933-Reviews-Timesburg_Fabra_i_Puig-Barcelona_Catalonia.html
66,67. Chick's Burger Bar,American,/Restaurant_Review-g187497-d14961829-Reviews-Chick_s_Burger_Bar-Barcelona_Catalonia.html
67,68. Chivuo's Poblenou,American,/Restaurant_Review-g187497-d23914505-Reviews-Chivuo_s_Poblenou-Barcelona_Catalonia.html
68,69. Otto's House,American,/Restaurant_Review-g187497-d15562178-Reviews-Otto_s_House-Barcelona_Catalonia.html
69,70. Master Grill,American,/Restaurant_Review-g187497-d15362458-Reviews-Master_Grill-Barcelona_Catalonia.html
70,71. Billy Brunch & Garden,American,/Restaurant_Review-g187497-d21339906-Reviews-Billy_Brunch_Garden-Barcelona_Catalonia.html
71,72. Melosa,American,/Restaurant_Review-g187497-d15277109-Reviews-Melosa-Barcelona_Catalonia.html
72,73. Pink Buda Burger And Bar,American,/Restaurant_Review-g187497-d23819288-Reviews-Pink_Buda_Burger_And_Bar-Barcelona_Catalonia.html
73,74. Gringa,American,/Restaurant_Review-g187497-d13950836-Reviews-Gringa-Barcelona_Catalonia.html
74,75. Burger King Sagrada Familia Barcelone,American,/Restaurant_Review-g187497-d24871598-Reviews-Burger_King_Sagrada_Familia_Barcelone-Barcelona_Catalonia.html
75,76. Goiko - Passeig de Sant Joan 58,American,/Restaurant_Review-g187497-d12842028-Reviews-Goiko_Passeig_de_Sant_Joan_58-Barcelona_Catalonia.html
76,77. Peggy Sue's,American,/Restaurant_Review-g187497-d3603158-Reviews-Peggy_Sue_s-Barcelona_Catalonia.html
77,78. Goiko - Aribau 113,American,/Restaurant_Review-g187497-d12874563-Reviews-Goiko_Aribau_113-Barcelona_Catalonia.html
78,79. Elaeropuerto Hamburguesa,American,/Restaurant_Review-g187497-d23125383-Reviews-Elaeropuerto_Hamburguesa-Barcelona_Catalonia.html
79,80. La Royale,American,/Restaurant_Review-g187497-d2481518-Reviews-La_Royale-Barcelona_Catalonia.html
80,81. Tootsie,American,/Restaurant_Review-g187497-d5775941-Reviews-Tootsie-Barcelona_Catalonia.html
81,82. Rock & Boom,American,/Restaurant_Review-g187497-d23990417-Reviews-Rock_Boom-Barcelona_Catalonia.html
82,83. Goiko - Carrer del Bruc 25,American,/Restaurant_Review-g187497-d19767702-Reviews-Goiko_Carrer_del_Bruc_25-Barcelona_Catalonia.html
83,84. Huqqah,American,/Restaurant_Review-g187497-d19804169-Reviews-Huqqah-Barcelona_Catalonia.html
84,85. Negronix Bar Cocktails & Street Food,American,/Restaurant_Review-g187497-d14044723-Reviews-Negronix_Bar_Cocktails_Street_Food-Barcelona_Catalonia.html
85,86. Beef Bull Club,American,/Restaurant_Review-g187497-d13223322-Reviews-Beef_Bull_Club-Barcelona_Catalonia.html
86,87. La Capital,American,/Restaurant_Review-g187497-d12852631-Reviews-La_Capital-Barcelona_Catalonia.html
87,88. Well Food Gourmet,American,/Restaurant_Review-g187497-d19268472-Reviews-Well_Food_Gourmet-Barcelona_Catalonia.html
88,89. Smash House,American,/Restaurant_Review-g187497-d22928814-Reviews-Smash_House-Barcelona_Catalonia.html
89,90. Hamburgueseria Chelsea,American,/Restaurant_Review-g187497-d986272-Reviews-Hamburgueseria_Chelsea-Barcelona_Catalonia.html
90,91. New York Burger,American,/Restaurant_Review-g187497-d20118913-Reviews-New_York_Burger-Barcelona_Catalonia.html
91,92. Goiko - Gran Via De Les Corts Catalanes 129,American,/Restaurant_Review-g187497-d14957592-Reviews-Goiko_Gran_Via_De_Les_Corts_Catalanes_129-Barcelona_Catalonia.html
92,93. Goiko - C.C. Som Multiespai,American,/Restaurant_Review-g187497-d17629868-Reviews-Goiko_C_C_Som_Multiespai-Barcelona_Catalonia.html
93,94. La Vega Grill,American,/Restaurant_Review-g187497-d19493600-Reviews-La_Vega_Grill-Barcelona_Catalonia.html
94,95. Mamy Ildy Barcelona,American,/Restaurant_Review-g187497-d3617161-Reviews-Mamy_Ildy_Barcelona-Barcelona_Catalonia.html
95,96. TGB The Good Burger,American,/Restaurant_Review-g187497-d13316605-Reviews-TGB_The_Good_Burger-Barcelona_Catalonia.html
96,97. Oassis Natural Cooking - Jardinets De Gracia,American,/Restaurant_Review-g187497-d24144542-Reviews-Oassis_Natural_Cooking_Jardinets_De_Gracia-Barcelona_Catalonia.html
97,98. Punto & Coma,American,/Restaurant_Review-g187497-d23934275-Reviews-Punto_Coma-Barcelona_Catalonia.html
98,99. Crispy Chicken Halal,American,/Restaurant_Review-g187497-d23886708-Reviews-Crispy_Chicken_Halal-Barcelona_Catalonia.html
99,"100. Goiko - Can de Segalar, 18",American,/Restaurant_Review-g187497-d14189013-Reviews-Goiko_Can_de_Segalar_18-Barcelona_Catalonia.html
100,101. Durango Diner,American,/Restaurant_Review-g187497-d23784608-Reviews-Durango_Diner-Barcelona_Catalonia.html
101,102. KFC Paralelo,American,/Restaurant_Review-g187497-d8043517-Reviews-KFC_Paralelo-Barcelona_Catalonia.html
102,103. Armoniia 2 Xefs,American,/Restaurant_Review-g187497-d25252366-Reviews-Armoniia_2_Xefs-Barcelona_Catalonia.html
103,104. Ribs,American,/Restaurant_Review-g187497-d3998679-Reviews-Ribs-Barcelona_Catalonia.html
104,105. Afterlife eSports Gamer Bar,American,/Restaurant_Review-g187497-d8768268-Reviews-Afterlife_eSports_Gamer_Bar-Barcelona_Catalonia.html
105,106. El Filete Ruso,American,/Restaurant_Review-g187497-d2076092-Reviews-El_Filete_Ruso-Barcelona_Catalonia.html
106,107. Bukan Bar & Restaurant,American,/Restaurant_Review-g187497-d24073191-Reviews-Bukan_Bar_Restaurant-Barcelona_Catalonia.html
107,108. Burger King,American,/Restaurant_Review-g187497-d25416930-Reviews-Burger_King-Barcelona_Catalonia.html
108,"109. McDonald""s",American,/Restaurant_Review-g187497-d25416976-Reviews-McDonald_s-Barcelona_Catalonia.html
109,110. Piel De Gallina,American,/Restaurant_Review-g187497-d23690064-Reviews-Piel_De_Gallina-Barcelona_Catalonia.html
110,111. Barigoule Cafe,American,/Restaurant_Review-g187497-d17351589-Reviews-Barigoule_Cafe-Barcelona_Catalonia.html
111,112. Cereals Addict Cafe,American,/Restaurant_Review-g187497-d13271888-Reviews-Cereals_Addict_Cafe-Barcelona_Catalonia.html
112,113. La Burguesa - Fleming,American,/Restaurant_Review-g187497-d9558324-Reviews-La_Burguesa_Fleming-Barcelona_Catalonia.html
