,name,type,urls
0,1. Bollywood Indian Restaurant Sevilla,Argentinean,/Restaurant_Review-g187443-d18930307-Reviews-Bollywood_Indian_Restaurant_Sevilla-Seville_Province_of_Seville_Andalucia.html
1,2. Taj Mahal Sevilla,Argentinean,/Restaurant_Review-g187443-d8075970-Reviews-Taj_Mahal_Sevilla-Seville_Province_of_Seville_Andalucia.html
2,3. Restaurante Biryani House,Argentinean,/Restaurant_Review-g187443-d24071606-Reviews-Restaurante_Biryani_House-Seville_Province_of_Seville_Andalucia.html
3,4. Mumbai Indian Restaurant,Argentinean,/Restaurant_Review-g187443-d17168641-Reviews-Mumbai_Indian_Restaurant-Seville_Province_of_Seville_Andalucia.html
4,5. Ra-go,Argentinean,/Restaurant_Review-g187443-d23139436-Reviews-Ra_go-Seville_Province_of_Seville_Andalucia.html
