,name,type,url_pics
0,1. Bollywood Indian Restaurant Sevilla,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/ca/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/7f/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/bc/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/e3/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/6d/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/e0/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/9e/bollywood-indian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/56/96/a9/bollywood-indian-restaurant.jpg']"
1,2. Taj Mahal Sevilla,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/22/murgh-korma.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/ea/af/onion-bhaji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/11/paneer-tikka.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/19/biryani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/12/onion-bhaji.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/1d/murgh-makhani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0d/f5/05/mango-cheesecake.jpg']"
2,3. Restaurante Biryani House,Indian,"['https://media-cdn.tripadvisor.com/media/photo-o/23/7b/2f/07/cerveza-cobra-y-kingfisher.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/23/7b/2b/ec/curry.jpg']"
3,4. Mumbai Indian Restaurant,Indian,"['https://media-cdn.tripadvisor.com/media/photo-f/17/34/dc/aa/estacion-cst-de-mumbai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/34/dc/7f/uno-de-nuestros-postres.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/34/dc/f7/tambien-hay-dulce-pollo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/34/dc/e0/tandoori-como-en-un-buen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/34/dc/78/la-decoracion-de-nuestro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/34/ec/96/logo-mumbai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/3e/3f/b0/restaurante-mumbai.jpg']"
4,5. Ra-go,Indian,['https://media-cdn.tripadvisor.com/media/photo-f/1d/69/71/73/rago-bar-restaurante.jpg']
