,name,type,urls
46,47. Tapa de China,Argentinean,/Restaurant_Review-g187497-d10501326-Reviews-Tapa_de_China-Barcelona_Catalonia.html
47,48. Chao Yue,Argentinean,/Restaurant_Review-g187497-d13977436-Reviews-Chao_Yue-Barcelona_Catalonia.html
48,49. Casa de Waipo,Argentinean,/Restaurant_Review-g187497-d16700441-Reviews-Casa_de_Waipo-Barcelona_Catalonia.html
49,50. Sabor Jiang,Argentinean,/Restaurant_Review-g187497-d19837676-Reviews-Sabor_Jiang-Barcelona_Catalonia.html
50,51. DaZhong Restaurante Xine,Argentinean,/Restaurant_Review-g187497-d7660161-Reviews-DaZhong_Restaurante_Xine-Barcelona_Catalonia.html
51,52. Restaurante Sichuan,Argentinean,/Restaurant_Review-g187497-d23118947-Reviews-Restaurante_Sichuan-Barcelona_Catalonia.html
52,53. Shanghai 1930,Argentinean,/Restaurant_Review-g187497-d1048432-Reviews-Shanghai_1930-Barcelona_Catalonia.html
53,54. Ta-Tung,Argentinean,/Restaurant_Review-g187497-d5811148-Reviews-Ta_Tung-Barcelona_Catalonia.html
54,55. He Cheng,Argentinean,/Restaurant_Review-g187497-d1113714-Reviews-He_Cheng-Barcelona_Catalonia.html
55,56. La Cocina de Wong,Argentinean,/Restaurant_Review-g187497-d6751009-Reviews-La_Cocina_de_Wong-Barcelona_Catalonia.html
56,57. Qi Xin Mian Guan,Argentinean,/Restaurant_Review-g187497-d7352902-Reviews-Qi_Xin_Mian_Guan-Barcelona_Catalonia.html
57,58. Sibo Chinese Gastro Bar,Argentinean,/Restaurant_Review-g187497-d19443856-Reviews-Sibo_Chinese_Gastro_Bar-Barcelona_Catalonia.html
58,59. El Bund 18,Argentinean,/Restaurant_Review-g187497-d13396673-Reviews-El_Bund_18-Barcelona_Catalonia.html
59,60. Xino Mandarino,Argentinean,/Restaurant_Review-g187497-d17381339-Reviews-Xino_Mandarino-Barcelona_Catalonia.html
60,61. Restaurante Lys,Argentinean,/Restaurant_Review-g187497-d13839043-Reviews-Restaurante_Lys-Barcelona_Catalonia.html
61,62. Noodle Rice,Argentinean,/Restaurant_Review-g187497-d19097408-Reviews-Noodle_Rice-Barcelona_Catalonia.html
